abbreviation,replacement
quanti.,quantitative
quantique.,quantiques
quantit.,quantitative
quantitat.,quantitative
quar.,quarantine
quarant.,quarantine
quart.,quartier
quarter.,quartermaster
quat.,quaternary
quater.,quaternary
que.,queensland
queb.,quebec
queen.,queensland
queens.,queensland
quen.,quentin
ques.,quest
qui.,quimica
quim.,quimica
quimi.,quimica
quimica-f.,quimica-fisica
quimica-fis.,quimica-fisica
quimica.,quimicas
quin.,quinta
quint.,quinta
quinze-v.,quinze-vingts
quirúrg.,quirúrgico
qum.,qumica
qué.,québec
quí.,química
quím.,química
química.,químicas
químico.,químicos
rab.,rabin
rac.,racah
rach.,rachou
rad.,radiology
rada.,radar
radb.,radboud
radboud.,radboudumc
radi.,radiology
radia.,radiation
radiac.,radiaciones
radiat.,radiation
radiation.,radiations
radiaz.,radiazioni
radic.,radical
radio-d.,radio-diagnosis
radio-diagn.,radio-diagnosis
radio-e.,radio-engineering
radio-eng.,radio-engineering
radio-freq.,radio-frequency
radio-o.,radio-oncology
radio-oncol.,radio-oncology
radio.,radiology
radioa.,radioastronomie
radioact.,radioactive
radioactiv.,radioactive
radioast.,radioastronomie
radioastr.,radioastronomie
radioastro.,radioastronomie
radioastron.,radioastronomie
radioastrono.,radioastronomie
radioastronom.,radioastronomie
radiob.,radiobiology
radiobio.,radiobiology
radiobiol.,radiobiology
radiobiolog.,radiobiology
radiochem.,radiochemistry
radiochim.,radiochimie
radiocom.,radiocommunications
radiocomm.,radiocommunications
radiocommun.,radiocommunications
radiodiag.,radiodiagnosis
radiodiagn.,radiodiagnosis
radiodiagno.,radiodiagnosis
radiodiagnos.,radiodiagnosis
radiodiagnost.,radiodiagnostic
radiodiagnostic.,radiodiagnostics
radioecol.,radioecology
radioel.,radioelectronics
radioelec.,radioelectronics
radioelect.,radioelectronics
radioelectr.,radioelectronics
radioelectron.,radioelectronics
radioelem.,radioelementi
radioeng.,radioengineering
radioengin.,radioengineering
radiog.,radiography
radiogr.,radiography
radiograph.,radiography
radioiso.,radioisotope
radioisot.,radioisotope
radioisotop.,radioisotope
radiol.,radiology
radiolo.,radiology
radiolog.,radiology
radiologi.,radiological
radiologic.,radiological
radiologica.,radiological
radiologisch.,radiologische
radiomet.,radiometric
radionucl.,radionuclide
radioo.,radioonkologie
radiooncol.,radiooncology
radioonkol.,radioonkologie
radiopathol.,radiopathology
radioph.,radiophysics
radiophar.,radiopharmaceutical
radiopharm.,radiopharmaceutical
radiopharma.,radiopharmaceutical
radiopharmac.,radiopharmaceutical
radiopharmaceut.,radiopharmaceutical
radiophys.,radiophysics
radioprot.,radioprotection
radioprotec.,radioprotection
radioprotect.,radioprotection
radiosurg.,radiosurgery
radiot.,radiotherapy
radiotech.,radiotechnical
radiotechn.,radiotechnical
radioter.,radioterapia
radioterap.,radioterapia
radioth.,radiotherapy
radiother.,radiotherapy
radiothera.,radiotherapy
radiotherap.,radiotherapy
radiotherapeu.,radiotherapeutics
radiotherapeut.,radiotherapeutics
radium.,radiumhemmet
radiumh.,radiumhemmet
radiumhospital.,radiumhospitalet
rady.,radyoloji
radyol.,radyoloji
raf.,raffaele
rafael.,rafaela
rail.,railway
railr.,railroad
railw.,railway
railway.,railways
rain.,rainbow
rainb.,rainbow
rainfor.,rainforest
rais.,raisoni
raj.,rajasthan
raja.,rajasthan
rak.,rakuno
ram.,rambam
ramak.,ramakrishna
raman.,ramanna
ramat-a.,ramat-aviv
ramat.,ramathibodi
rams.,ramsay
ran.,randd
rand.,randd
range.,rangeland
rangel.,rangeland
rap.,rappaport
rapp.,rappaport
ras.,rasht
rat.,rational
ration.,rational
rau.,raumfahrt
raumf.,raumfahrt
raumfahrt.,raumfahrttechnik
raumfahrttech.,raumfahrttechnik
ray.,raymond
rayo.,rayonnement
rayon.,rayonnement
rayonn.,rayonnement
rayonnem.,rayonnement
rayonnement.,rayonnements
raza.,razak
rca.,rcast
rcs.,rcsi
rea.,reading
reac.,reactor
reach.,reaches
react.,reactor
reaction.,reactions
reactiv.,reactive
reactor.,reactors
read.,reading
readap.,readaptation
readapt.,readaptation
readapta.,readaptation
readaptat.,readaptation
reade.,reader
reag.,reagents
reak.,reaktorsicherheit
reakt.,reaktorsicherheit
reaktor.,reaktorsicherheit
reaktorsicherh.,reaktorsicherheit
real-t.,real-time
real.,reality
realiz.,realization
rean.,reanimation
reani.,reanimation
reanim.,reanimation
reanima.,reanimation
reanimac.,reanimacion
reanimas.,reanimasyon
reanimat.,reanimation
reanimatol.,reanimatology
reas.,reasearch
reaz.,reazione
rec.,recherche
rece.,recerca
receiv.,receiving
recep.,receptor
recept.,receptor
recer.,recerca
rech.,recherche
reche.,recherche
rechen-i.,rechen-institut
rechen-inst.,rechen-institut
rechenzent.,rechenzentrum
recher.,recherche
recherc.,recherche
recherch.,recherche
recherche.,recherches
rechn.,rechnen
recht.,rechts
rechts.,rechtsmedizin
rechtsanw.,rechtsanwalt
rechtsmed.,rechtsmedizin
recl.,reclamation
recla.,reclamation
reclam.,reclamation
reclamat.,reclamation
reco.,reconstructive
recog.,recognition
recogn.,recognition
recogni.,recognition
recognit.,recognition
recom.,recombinant
recomb.,recombinant
recombin.,recombinant
recon.,reconstructive
reconn.,reconnaissance
reconoc.,reconocimiento
recons.,reconstructive
reconst.,reconstructive
reconstr.,reconstructive
reconstru.,reconstructive
reconstruc.,reconstructive
reconstruct.,reconstructive
reconstructr.,reconstructrice
record.,recording
recov.,recovery
recr.,recreation
recre.,recreation
recreat.,recreation
rect.,rectal
recti.,rectifier
recto.,rector
recu.,recursos
recur.,recursos
recurs.,recursos
recy.,recycling
recyc.,recycling
recycl.,recycling
red.,reduction
redak.,redaktion
redakt.,redaktion
reduc.,reduction
reduct.,reduction
ree.,reed
reed.,reeducation
reedu.,reeducation
reeduc.,reeducation
reeducat.,reeducation
rees.,reese
ref.,reference
refer.,reference
refera.,referat
referen.,reference
referenc.,reference
referenzzen.,referenzzentrum
referenzzent.,referenzzentrum
referenzzentr.,referenzzentrum
refin.,refining
refine.,refinery
reform.,reformed
refr.,refrigeration
refract.,refractories
refri.,refrigeration
refrig.,refrigeration
refrigerat.,refrigeration
reg.,regional
regelungstech.,regelungstechnik
regen.,regenerative
regene.,regenerative
regener.,regenerative
regenera.,regenerative
regenerat.,regenerative
regensb.,regensburg
regi.,regional
regio.,regional
region.,regional
regional.,regionale
regionale.,regionales
regions.,regionsykehuset
regis.,registry
regist.,registry
register.,registered
registr.,registry
registrat.,registration
regul.,regulation
regulat.,regulation
regulation.,regulations
reh.,rehabilitation
reha.,rehabilitation
rehab.,rehabilitation
rehabi.,rehabilitation
rehabil.,rehabilitation
rehabili.,rehabilitation
rehabilit.,rehabilitation
rehabilitas.,rehabilitasyon
rehabilitat.,rehabilitation
rehabilitation.,rehabilitationszentrum
rehabilitationszent.,rehabilitationszentrum
rehabilitationszentr.,rehabilitationszentrum
rei.,reims
reichsanst.,reichsanstalt
rein.,reina
reinf.,reinforced
rek.,rekonstruktive
rekon.,rekonstruktive
rekons.,rekonstruktive
rekonst.,rekonstruktive
rekonstr.,rekonstruktive
rekonstruk.,rekonstruktive
rekonstrukt.,rekonstruktive
rel.,relations
rela.,relations
relac.,relaciones
relat.,relations
relations.,relationship
relativ.,relativistic
relativis.,relativistic
relaz.,relazioni
relev.,relevance
reli.,reliability
relia.,reliability
reliab.,reliability
reliabil.,reliability
relig.,religion
religion.,religions
rem.,remote
remed.,remediation
remediat.,remediation
remodel.,remodeling
removab.,removable
ren.,rennes
renaiss.,renaissance
renal-electrol.,renal-electrolyte
renew.,renewable
rennes.,rennes1
reno.,renouvelables
renov.,renovables
rent.,rentenversicherung
renten.,rentenversicherung
rentenversich.,rentenversicherung
rentenversicher.,rentenversicherung
rentenversicherun.,rentenversicherung
rep.,reproductive
repar.,reparto
reparat.,reparative
repart.,reparto
repat.,repatriation
repatr.,repatriation
repatriat.,repatriation
reper.,reperfusion
repl.,replacement
replace.,replacement
replacem.,replacement
repli.,replication
replic.,replication
replicat.,replication
report.,reporting
reposit.,repository
repr.,reproductive
repres.,representative
represen.,representative
represent.,representative
representat.,representative
representative.,representatives
repro.,reproductive
reproc.,reprocessing
reprocess.,reprocessing
reprod.,reproductive
reproduc.,reproductive
reproducc.,reproduccion
reproduct.,reproductive
reproduk.,reproduktionsmedizin
reprodukt.,reproduktionsmedizin
reproduktion.,reproduktionsmedizin
reproduktionsmed.,reproduktionsmedizin
rept.,reptiles
repub.,republic
republ.,republic
republic.,republican
republica.,republican
republik.,republiky
req.,requimte
request.,requests
requimte/.,requimte/laqv
res.,research
resc.,rescue
rese.,research
resea.,research
resear.,research
research-devel.,research-development
research.,researchers
research/dev.,research/development
research/devel.,research/development
research/develop.,research/development
research/developm.,research/development
research/edu.,research/education
research/educ.,research/education
researcher.,researchers
reser.,reserve
reserv.,reserve
reserve.,reserves
resh.,reshetnev
resid.,residency
reside.,residency
residen.,residency
residenc.,residency
resident.,residente
resis.,resistance
resist.,resistance
reso.,resources
resol.,resolution
resolut.,resolution
reson.,resonance
resonan.,resonance
resor.,resort
resou.,resources
resour.,resources
resourc.,resources
resource.,resources
resp.,respiratory
respi.,respiratory
respir.,respiratory
respira.,respiratory
respirat.,respiratory
respiratoire.,respiratoires
respirator.,respiratory
respiratori.,respiratorias
respiratoria.,respiratorias
respirol.,respirology
respon.,response
respons.,response
response.,responses
responsibil.,responsibility
ress.,ressources
ressour.,ressources
ressourc.,ressources
rest.,restorative
restau.,restaurant
restaur.,restaurant
restaurat.,restauration
restor.,restorative
restorat.,restorative
resul.,results
result.,results
resus.,resuscitation
resusc.,resuscitation
resuscit.,resuscitation
resuscitac.,resuscitace
resuscitat.,resuscitation
ret.,retina
retar.,retardation
retard.,retardation
retardat.,retardation
retin.,retina
retina.,retinal
retire.,retired
retirem.,retirement
retr.,retrovirology
retriev.,retrieval
retrov.,retrovirology
retrovir.,retrovirology
retrovirol.,retrovirology
retrovirus.,retroviruses
reu.,reuse
reum.,reumatologia
reuma.,reumatologia
reumat.,reumatologia
reumatol.,reumatologia
reumatolog.,reumatologia
reus.,reuse
rev.,review
reve.,revenue
review.,reviews
revis.,revista
rex.,rexroth
rey.,reynolds
rez.,reza
rhe.,rheumatology
rhei.,rheinische
rhein.,rheinische
rheinis.,rheinische
rheinisc.,rheinische
rheinisch-w.,rheinisch-westfalische
rheinisch-west.,rheinisch-westfalische
rheinisch-westf.,rheinisch-westfalische
rheinisch-westfa.,rheinisch-westfalische
rheinisch-westfal.,rheinisch-westfalische
rheinisch-westfalis.,rheinisch-westfalische
rheinisch-westfäl.,rheinisch-westfälische
rheinisch.,rheinische
rheinland-p.,rheinland-pfalz
rheol.,rheology
rheu.,rheumatology
rheum.,rheumatology
rheuma-f.,rheuma-forschungszentrum
rheuma-forsch.,rheuma-forschungszentrum
rheuma-forschung.,rheuma-forschungszentrum
rheuma-forschungsz.,rheuma-forschungszentrum
rheuma.,rheumatology
rheumakl.,rheumaklinik
rheumaklin.,rheumaklinik
rheumat.,rheumatology
rheumatol.,rheumatology
rheumatolog.,rheumatology
rheumazen.,rheumazentrum
rheumazent.,rheumazentrum
rhin.,rhinology
rhine-w.,rhine-westphalia
rhinol.,rhinology
rhinolog.,rhinology
rho.,rhode
rhodes.,rhodesia
rhone-a.,rhone-alpes
rhone-p.,rhone-poulenc
rhum.,rhumatologie
rhumat.,rhumatologie
rhumato.,rhumatologie
rhumatol.,rhumatologie
rhumatolog.,rhumatologie
rhythm.,rhythms
rhéol.,rhéologie
ria.,rianimazione
riab.,riabilitazione
riabil.,riabilitazione
riabilit.,riabilitazione
riabilitat.,riabilitativa
riabilitaz.,riabilitazione
riad.,riadi
rian.,rianimazione
rianim.,rianimazione
rianimaz.,rianimazione
rib.,ribeirao
ribei.,ribeirao
ribeira.,ribeirao
ric.,rice
rica.,ricardo
ricca.,riccarton
rice.,ricerche
ricer.,ricerche
ricerc.,ricerche
ricerch.,ricerche
rich.,richard
richard.,richardson
rickett.,rickettsial
ricketts.,rickettsial
rico.,ricovero
ricon.,riconoscimento
riconosc.,riconoscimento
riconosci.,riconoscimento
riconoscim.,riconoscimento
ricost.,ricostruttiva
ricostr.,ricostruttiva
ricostrut.,ricostruttiva
ricostrutt.,ricostruttiva
ricov.,ricovero
rid.,ridge
ridge.,ridgeway
rie.,riesgo
riesgo.,riesgos
rif.,riferimento
rifer.,riferimento
riferim.,riferimento
rig.,rigshospitalet
riga.,rigaku
right.,rights
rigshosp.,rigshospitalet
rijksinst.,rijksinstituut
rijksinstit.,rijksinstituut
rijksuni.,rijksuniversiteit
rijksuniv.,rijksuniversiteit
rijksuniver.,rijksuniversiteit
rijn.,rijnstate
rikshosp.,rikshospitalet
rilev.,rilevamento
rilevam.,rilevamento
rim.,rimouski
rin.,ring
rio.,rioja
rip.,riphah
ripro.,riproduzione
riprod.,riproduzione
riproduz.,riproduzione
ris.,risk
risiko.,risikobewertung
risk.,risks
riso.,risorse
risq.,risques
risque.,risques
riss.,rissho
rit.,ritsumeikan
ritt.,ritter
riu.,riuniti
riun.,riuniti
riv.,river
rivada.,rivadavia
river.,riverside
riz.,rizzoli
rmk.,rmki
roa.,road
road.,roads
rob.,robert
robert-bosch-k.,robert-bosch-krankenhaus
robert-bosch-krankenh.,robert-bosch-krankenhaus
robert-g.,robert-giffard
robert-koch-ins.,robert-koch-institut
robert-koch-inst.,robert-koch-institut
robert.,roberts
roberts.,robertson
robins.,robinson
robo.,robotics
robot.,robotics
roc.,rochester
roca.,rocasolano
rocasolan.,rocasolano
roch.,rochester
roche.,rochester
rock.,rockefeller
rocq.,rocquencourt
rod.,rodovia
rode.,rodents
rodov.,rodovia
roe.,roehampton
roent.,roentgen
roentg.,roentgen
roentgen.,roentgenology
roentgenol.,roentgenology
rof.,roffo
roh.,rohm
rohs.,rohstoffe
rohst.,rohstoffe
roll.,rollins
roln.,rolniczy
rom.,roma
roma.,romanian
roman.,romanian
romand.,romande
romania.,romanian
rome.,romeris
ron.,ronald
ronde.,rondebosch
ront.,rontgendiagnostik
rontg.,rontgendiagnostik
rontgen.,rontgendiagnostik
rontgendiag.,rontgendiagnostik
rontgendiagn.,rontgendiagnostik
rontgendiagnost.,rontgendiagnostik
roo.,roorkee
ros.,rostock
rosa.,rosario
rosal.,rosalind
rose.,rosenstiel
rosen.,rosenstiel
rosens.,rosenstiel
rosenst.,rosenstiel
ross.,rossendorf
rossi.,rossier
rostov-on-d.,rostov-on-don
rot.,rotterdam
rotat.,rotation
roth.,rothamsted
rotor-bear.,rotor-bearing
rotterd.,rotterdam
rotterdam-d.,rotterdam-dijkzigt
rou.,rouen
roumania.,roumanian
rouss.,roussy
rousse.,roussel
rov.,rovira
row.,rowan
rowe.,rowett
rox.,roxbury
roy.,royal
roya.,royal
royal.,royallieu
roz.,rozwojowego
rozw.,rozwojowego
rozwoj.,rozwojowego
rsc.,rsch
rsm.,rsmas
rsp.,rspb
rua.,ruakura
rub.,rubber
rubber-plast.,rubber-plastics
ruber.,ruberti
rubi.,rubin
rubner-inst.,rubner-institut
ruch.,ruchill
rud.,rudolf
rude.,ruder
rudolf.,rudolfstiftung
rudolfst.,rudolfstiftung
rudolfstif.,rudolfstiftung
rudolfstift.,rudolfstiftung
rug.,rugby
ruhr-u.,ruhr-university
ruhr-univ.,ruhr-university
ruhr-univer.,ruhr-university
ruhr-univers.,ruhr-university
ruhr.,ruhrlandklinik
ruhrgeb.,ruhrgebiet
ruhrlandklin.,ruhrlandklinik
rui-j.,rui-jin
rum.,ruminants
rumin.,ruminants
ruprecht-k.,ruprecht-karls
ruprecht-karls-u.,ruprecht-karls-university
ruprecht-karls-univ.,ruprecht-karls-university
ruprecht-karls-unive.,ruprecht-karls-university
ruprecht-karls-univer.,ruprecht-karls-university
ruprecht-karls-univers.,ruprecht-karls-university
rur.,rural
rural.,rurale
rus.,russian
rush-p.,rush-presbyterian
rush-pres.,rush-presbyterian
rush-presb.,rush-presbyterian
rush-presby.,rush-presbyterian
rush-presbyt.,rush-presbyterian
rush-presbyter.,rush-presbyterian
rush-presbyterian-s.,rush-presbyterian-st
russ.,russian
russell.,russells
russia.,russian
rutg.,rutgers
rutger.,rutgers
rutgers-n.,rutgers-new
rwth-a.,rwth-aachen
ryd.,rydygier
ryde.,ryder
ryl.,rylah
rythm.,rythmologie
rythmol.,rythmologie
ryukyu.,ryukyus
rzeszow.,rzeszowska
réact.,réactions
réadapt.,réadaptation
réan.,réanimation
réanim.,réanimation
rég.,régional
régional.,régionale
réhab.,réhabilitation
réhabil.,réhabilitation
rénale.,rénales
rép.,république
rés.,réseau
résist.,résistance
réson.,résonance
río.,ríos
röntgen.,röntgendiagnostik
röntgenabt.,röntgenabteilung
röntgenabteil.,röntgenabteilung
röntgendiag.,röntgendiagnostik
röntgendiagn.,röntgendiagnostik
röntgeninst.,röntgeninstitut
saa.,saarland
saar.,saarland
saarl.,saarland
saarland.,saarlandes
sab.,sabatier
saba.,sabatier
sac.,sackler
sach.,sachs
sachs.,sachsen
sachsen-a.,sachsen-anhalt
sacr.,sacred
sacre-c.,sacre-coeur
sad.,sadoughi
sada.,sadat
sadow.,sadowej
sae.,saen
saf.,safety
safe.,safety
sag.,saga
saga.,sagamihara
sagl.,sagligi
sah.,sahlgrenska
sai.,saint
sains.,sainsbury
saint-et.,saint-etienne
saint-g.,saint-gobain
saint-j.,saint-joseph
saint-l.,saint-louis
saint-m.,saint-maurice
saint-maur.,saint-maurice
saint-q.,saint-quentin
saint-quentin-en-y.,saint-quentin-en-yvelines
saint.,sainte
sainte-a.,sainte-anne
sainte-j.,sainte-justine
sainte-m.,sainte-marguerite
sair.,sairam
sait.,saitama
sakh.,sakhalin
sakyo-k.,sakyo-ku
sal.,salud
sales.,salesiana
sali.,salisbury
salin.,salinity
salm.,salmon
salpet.,salpetriere
salt.,salta
salut.,salute
salv.,salvador
salva.,salvador
salvat.,salvatore
salzb.,salzburg
salzburg.,salzburger
sam.,samsung
samar.,samara
samarit.,samaritan
samark.,samarkand
samfunnsmed.,samfunnsmedisin
samm.,sammlung
samml.,sammlung
samod.,samodzielny
samodz.,samodzielny
samodziel.,samodzielny
sampl.,sample
samuel.,samueli
san.,santa
sana.,sanatorium
sanat.,sanatorium
sanator.,sanatorium
sanc.,sanctuary
sanders-b.,sanders-brown
saneam.,saneamento
sang.,sanger
sangu.,sanguine
sani.,sanitaria
sanid.,sanidad
sanidad.,sanidade
sanit.,sanitaria
sanita.,sanitaria
sanitar.,sanitaria
sanitari.,sanitaria
sanitaria.,sanitarias
sanitario.,sanitarios
sanitat.,sanitation
sanità.,sanitària
sanitá.,sanitária
sankt-p.,sankt-peterburgskij
sankt-peter.,sankt-peterburgskij
sankt-peterb.,sankt-peterburgskij
sankt-peterburg.,sankt-peterburgskij
sano.,sanofi
sanof.,sanofi
sanofi-s.,sanofi-synthelabo
sanofi-synthelab.,sanofi-synthelabo
sans.,sansom
sanso.,sansom
sanst.,sansthan
sant'a.,sant'anna
sant'o.,sant'orsola
sant'orsola-m.,sant'orsola-malpighi
sant.,santa
santa.,santander
sante.,santen
santi.,santiago
santo.,santos
sap.,sapienza
sapien.,sapienza
sapienz.,sapienza
sar.,saratov
sara.,saratov
sarat.,saratov
sarco.,sarcoma
sarh.,sarhad
sart-t.,sart-tilman
sarve.,sarver
sas.,saskatchewan
sask.,saskatchewan
sat.,satellite
sate.,satellite
satel.,satellite
satell.,satellite
satellite.,satellites
satt.,sattam
sau.,saud
saud.,saudi
saude.,sauder
saund.,saunders
sav.,saveetha
sava.,savannah
savan.,savannah
savanna.,savannah
sax.,saxony
saǧ.,saǧlik
sba.,sbarro
sca.,scarborough
scalab.,scalable
scand.,scandinavian
scandi.,scandinavian
scatt.,scattering
sce.,scene
sch.,school
schalt.,schaltungen
scheik.,scheikunde
schering-p.,schering-plough
schi.,schiller
schimmelcult.,schimmelcultures
schis.,schistosomiasis
schist.,schistosomiasis
schistosom.,schistosomiasis
schistosomias.,schistosomiasis
schizoph.,schizophrenia
schizophr.,schizophrenia
schl.,schlumberger
schlafmed.,schlafmedizin
schles.,schleswig
schleswig-h.,schleswig-holstein
schleswig-holst.,schleswig-holstein
schlum.,schlumberger
schmerz.,schmerztherapie
schmerzt.,schmerztherapie
schmerzth.,schmerztherapie
schmerzther.,schmerztherapie
scho.,school
schol.,scholar
scholar.,scholars
scholars.,scholarship
schoo.,school
school.,schools
schr.,schroeder
schw.,schwerionenforschung
schwab.,schwabing
schwe.,schwerionenforschung
schweiz.,schweizerisches
schweize.,schweizerisches
schweizer.,schweizerisches
schweizeris.,schweizerisches
schwer.,schwerionenforschung
schwerion.,schwerionenforschung
schwerionen.,schwerionenforschung
schwerionenfors.,schwerionenforschung
schwerionenforsc.,schwerionenforschung
schwerionenforsch.,schwerionenforschung
schwerp.,schwerpunkt
schwerpu.,schwerpunkt
schwerpunk.,schwerpunkt
schwerpunkt.,schwerpunktpraxis
schwerpunktpr.,schwerpunktpraxis
schwes.,schwestern
schwest.,schwestern
schwäb.,schwäbisch
sci-tec.,sci-tech
sci.,science
scie.,science
scien.,science
scienc.,science
science.,sciences
science/eng.,science/engineering
science/engin.,science/engineering
science/engineer.,science/engineering
science/tech.,science/technology
science/techn.,science/technology
science/techno.,science/technology
science/technol.,science/technology
sciences-s.,sciences-sggw
sciences/univ.,sciences/university
sciencie.,sciencies
scient.,scientific
scienti.,scientific
scientif.,scientific
scientific-indust.,scientific-industrial
scientific-prod.,scientific-production
scientific-res.,scientific-research
scientific.,scientifico
scientific/eng.,scientific/engineering
scientifiq.,scientifique
scientifique.,scientifiques
scientist.,scientists
scin.,scintillation
scio.,scion
sck-c.,sck-cen
sck.,sckcen
scl.,sclerosis
scle.,sclerosis
scler.,sclerosis
scleros.,sclerosis
sco.,scottish
scol.,scoliosis
scolios.,scoliosis
scop.,scopus
scot.,scottish
scotl.,scotland
scott.,scottish
scp.,scpa
scr.,scripps
scre.,screening
screen.,screening
scri.,scripps
scu.,scuola
scuo.,scuola
scuol.,scuola
sea.,seattle
seal.,sealy
seama.,seamans
seas.,seashore
seat.,seattle
seb.,sebelas
sebastian.,sebastiano
sebészet.,sebészeti
sec.,section
secc.,seccion
sech.,sechenov
seco.,second
second.,seconda
secr.,secretaria
secre.,secretaria
secret.,secretaria
secretar.,secretaria
sect.,section
secte.,secteur
section.,sections
secu.,security
secur.,security
sed.,sede
sedi.,sediment
sedim.,sediment
sedimen.,sediment
sediment.,sedimentary
sedimentat.,sedimentation
sedimentol.,sedimentology
see.,seed
seed.,seeds
seel.,seelische
seelis.,seelische
seelisc.,seelische
seg.,seguro
sego.,segovia
segu.,seguro
segur.,seguro
segurid.,seguridad
sei.,seismological
seika.,seikai
sein.,seine
seis.,seismological
seism.,seismological
seismo.,seismological
seismol.,seismological
seismolog.,seismological
sek.,sektion
seks.,seksjon
seksj.,seksjon
sekt.,sektion
sekti.,sektion
sektion.,sektionen
sel.,selcuk
selec.,selective
select.,selective
selectiv.,selective
self-a.,self-assembly
self-assemb.,self-assembly
self-assembl.,self-assembly
self-def.,self-defense
self-defen.,self-defense
self-o.,self-organization
self-org.,self-organization
self-organ.,self-organization
sell.,selly
sem.,semiconductor
seman.,semantic
semant.,semantic
semeio.,semeiotica
semeiot.,semeiotica
semeioti.,semeiotica
semi-a.,semi-arid
semi-ari.,semi-arid
semi-c.,semi-conducteurs
semi-con.,semi-conducteurs
semi-conduc.,semi-conducteurs
semi-conduct.,semi-conducteurs
semi.,semiconductor
semic.,semiconductor
semicon.,semiconductor
semicond.,semiconductor
semiconduc.,semiconductor
semiconduct.,semiconductor
semiconductor.,semiconductors
semin.,seminary
seminar.,seminary
semiot.,semiotics
semmel.,semmelweis
semn.,semnan
sen.,sensing
sena.,senate
senat.,senate
senato.,senator
senck.,senckenberg
sencken.,senckenberg
senckenb.,senckenberg
seni.,senior
senior.,seniorlife
senol.,senology
senr.,senri
sens.,sensing
sense.,senses
senso.,sensor
sensor.,sensors
sensorimot.,sensorimotor
sensory-m.,sensory-motor
sent.,senter
senta.,sentara
sep.,separation
sepa.,separation
separ.,separation
separat.,separation
seq.,sequencing
ser.,service
sera.,serafimerlasarettet
serafimerlas.,serafimerlasarettet
serb.,serbia
serbia.,serbian
serc.,serca
serd.,serdang
serg.,sergipe
seric.,sericultural
sericul.,sericultural
sericult.,sericultural
sericultur.,sericultural
serol.,serology
serolog.,serology
serra.,serrano
serum.,seruminstitut
seruminst.,seruminstitut
serv.,service
serve.,servei
servi.,service
service.,services
servicio.,servicios
servid.,servidor
serviz.,servizio
ses.,sestre
sest.,sestre
set.,setor
seth.,sethu
sett.,settlements
settl.,settlements
settlement.,settlements
sev.,sevilla
sever.,severance
sew.,sewage
sewer.,sewerage
sex.,sexual
sexol.,sexology
sexolog.,sexology
sexual.,sexually
sez.,sezione
sezi.,sezione
sezion.,sezione
señal.,señales
sfa.,sfax
sha.,shanghai
shady.,shadyside
shah.,shahid
shahu.,shahuji
sham.,shams
shan.,shanghai
shanghai.,shanghaitech
shar.,sharif
shell.,shellfish
shemyakin-o.,shemyakin-ovchinnikov
shemyakin-ovch.,shemyakin-ovchinnikov
sher-e-kas.,sher-e-kashmir
shi.,shiraz
shield.,shields
shinjuku-k.,shinjuku-ku
ship.,shipbuilding
shipbuild.,shipbuilding
shore-l.,shore-lij
shore.,shores
shri.,shriners
sia.,siam
sib.,siberian
siber.,siberian
siberia.,siberian
sic.,sichuan
sich.,sichuan
siche.,sicherheit
sicher.,sicherheit
sicherh.,sicherheit
sicilia.,siciliano
sick.,sickle
sicu.,sicurezza
sicur.,sicurezza
sicure.,sicurezza
sid.,sidney
sidi.,siding
siedl.,siedlce
siem.,siemens
sience.,siences
sierra.,sierrallana
sig.,signal
sign.,signal
signal.,signaling
signalis.,signalisation
signalisat.,signalisation
sil.,silesian
siles.,silesian
silesia.,silesian
silic.,silicon
silk.,silkworm
sils.,silsoe
silv.,silviculture
silvestre.,silvestres
silvic.,silviculture
silvicul.,silviculture
silvicult.,silviculture
sim.,simulation
simon.,simons
simu.,simulation
simul.,simulation
simula.,simulation
simulat.,simulation
simulation.,simulations
sin.,singapore
sina.,sinai
sinc.,sincrotrone
sincl.,sinclair
sincr.,sincrotrone
sini.,sinica
sino-fr.,sino-french
sino-ger.,sino-german
sino-u.,sino-us
sino.,sinopec
sinop.,sinopec
sinos.,sinosteel
sinsheim.,sinsheimer
sint-j.,sint-jan
sint.,sintef
sir.,siriraj
sis.,sistemas
sist.,sistemas
siste.,sistemas
sistem.,sistemas
sistema.,sistemas
sistemat.,sistematica
sit.,site
site.,siteman
siv.,sivas
six.,sixth
sjuk.,sjukhuset
sjukh.,sjukhuset
sjukhus.,sjukhuset
skel.,skeletal
skelet.,skeletal
ski.,skin
sklifos.,sklifosovsky
sklodowsk.,sklodowska
sklodowska-c.,sklodowska-curie
sklodowska-cur.,sklodowska-curie
sko.,skobeltsyn
skr.,skryabin
skåne.,skånes
sla.,slac
slas.,slaskiej
slask.,slaskiej
slaski.,slaskiej
slaskie.,slaskiej
slav.,slavic
slim.,slimane
sloan-k.,sloan-kettering
sloan-kett.,sloan-kettering
sloan-ketter.,sloan-kettering
slov.,slovak
slovak.,slovakia
sloven.,slovenia
slovenia.,slovenian
slovens.,slovenskej
slovensk.,slovenskej
sma.,small
small.,smalley
smb.,smbh
smbd-j.,smbd-jewish
smelt.,smelting
smi.,smith
smit.,smith
smith.,smithsonian
smithson.,smithsonian
smok.,smoking
sna.,snake
snam.,snamprogetti
snc.,sncf
soa.,soas
sob.,sobre
soc.,social
soci.,social
socia.,social
social.,sociales
sociale.,sociales
socializ.,socializzazione
socializat.,socialization
socializzaz.,socializzazione
socie.,society
socied.,sociedad
sociedad.,sociedade
